id,city,cc1,minrate,nr_rooms,checkin,default_comm_lang,office_id,km_from_city_center,first_opened,payment_method,star_rating,hotel_type
56676,Paris,fr,234.22,1,14:00,NA,4,2,4/14/15,"cc,bt",5,Apartment
99059,Napoli,it,58.8,1,14:00,it,353,15,11/04/2015,bc,5,Holiday home
17540,Paris,fr,0,1,16:00,en,4,0,5/14/14,"cc,ca,bt,bc",2,Apartment
105158,Florence,it,146.02,1,17:00,it,279,6,02/02/2016,"cc,ca",5,Apartment
107208,Cannes,fr,78.4,1,16:00,fr,378,13,2/23/16,"cc,bt",3,Villa
46448,Paris,fr,184.7496,1,15:00,NA,4,0,12/05/2014,ca,5,Apartment
98363,Florence,it,70.07,1,12:00,it,279,12,11/03/2015,"cc,bt",3,Apartment
68310,Paris,fr,0,1,15:00,xu,4,1,05/04/2015,"cc,bt",2,Apartment
94779,Roma,it,156.8,1,11:00,it,13,2,9/16/15,"ca, bt,",5,Apartment
109329,Paris,fr,490,1,16:00,de,4,2,2/26/16,"cc,bt",2,Apartment
31664,Roma,it,0,1,13:30,it,13,6,8/13/14,"cc,ca",1,Apartment
104961,Nice,fr,142.1,1,15:00,en,378,0,1/21/16,"cc,ca,bt,bc",3,Bed and Breakfast
35971,Roma,it,0,1,15:00,it,13,5,9/18/14,"cc, ca, bt",2,Apartment
96695,Palermo,it,0,1,14:00,it,326,10,10/07/2015,"cc,bt",3,Apartment
64260,Milano,it,58.8,1,14:30,en,221,3,04/03/2015,ca,3,Apartment
108555,Roma,it,49,8,12:00,it,13,8,2/18/16,"cc, ca, bt",2,ApartHotel
49630,Venice,it,117.6,1,14:00,it,363,3,12/16/14,"cc, ca, bt",5,Apartment
34817,Milano,it,42.14,2,16:00,it,221,4,09/08/2014,ca,3,Bed and Breakfast
25252,Nice,fr,0,1,16:00,fr,378,0,6/25/14,"cc,bt",4,Apartment
114303,Roma,it,74.48,1,15:00,it,13,14,3/25/16,"cc,bt",5,Apartment
56754,Paris,fr,0,1,14:00,NA,4,5,2/24/15,"cc,ca",3,Apartment
96384,Roma,it,47.04,5,14:00,it,13,0,10/08/2015,"cc, ca, bt",1,Guest house
45851,Palermo,it,0,1,8:00,it,326,1,11/26/14,"ca, bt,",3,Apartment
57225,Paris,fr,188.16,1,15:30,fr,4,6,2/17/15,ca,3,Apartment
55068,Florence,it,0,1,14:00,it,279,11,1/30/15,"cc,bt",1,Apartment
68937,Milano,it,0,1,15:00,it,221,3,4/29/15,"ca, bt,",2,Apartment
51989,Palermo,it,104.272,1,14:00,it,326,8,01/09/2015,"cc, ca, bt",5,Holiday home
91466,Paris,fr,163.856,1,11:00,en,4,1,8/28/15,"cc, ca, bt",,Apartment
84379,Roma,it,127.4,1,12:00,it,13,6,7/19/15,"cc,bt",2,Apartment
